data,y_pred,y_test
"gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&logina=yu-wei&password=mascadura&nombre=lih�n&apellidos=ce�al&email=mostel@hipernavarra.mc&dni=49437237w&direccion=paseo+escuelas+pias,+119,+&ciudad=busto,+el&cp=16779&provincia=toledo&ntc=6995607131571243&b1=registrar gethttp://localhost:8080/ gethttp://localhost:8080/tienda1/publico/pagar.jsp?modoa=insertar&precio=306&b1=pasar+por+caja gethttp://localhost:8080/tienda1/miembros/fotos.jsp.old gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombre=queso+manchego&precio=100/&cantidad=61&b1=a�adir+al+carrito",anomalous,anomalous
"posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carrito'or'a='a gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=bob@<script>alert(paros)</script>.parosproxy.org gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=1 gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=indiana&pwd=diligencia&remember=on/&b1=entrar posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=1""+and+""1""=""1",anomalous,anomalous
gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas posthttp://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombre=queso+manchego&precio=39&cantidada=56&b1=a�adir+al+carrito posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar%7c&precio=6771&b1=pasar+por+caja gethttp://localhost:8080/asf-logo-wide.gif/.bak posthttp://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombre=queso+manchego&precioa=39&cantidad=94&b1=a�adir+al+carrito,anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp/ gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=yarosh&password=es137z7ble&nombre=ian&apellidos=bardina+servi�&email=alissa_macmillian@soyandaluz.sl&dni=28316047b&direccion=avda.+conde+de+halcon,+127+7?a&ciudad=moral+de+la+reina&cp=49311&provincia=lleida&ntc=9933609390542119%7c&b1=registrar posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2a=vaciar+carrito gethttp://localhost:8080/tienda1/miembros/salir.jsp/ posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=mombourq&password=decusada&nombre=edurne&apellidos=charbonnier+sisneros&emaila=bervil-berkel@boda-barata.sn&dni=31182783g&direccion=escritora+luciana+narvaez+67+10?a&ciudad=albox&cp=44620&provincia=le�n&ntc=6075270665324595&b1=registrar",normal,anomalous
gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp/6909030637832563290.jsp gethttp://localhost:8080/4861362529278789730.inc gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=9457&b1a=pasar+por+caja gethttp://localhost:8080/tienda1/global/asf-logo-wide.gif/ posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=8460&b1=confirmar/,anomalous,anomalous
gethttp://localhost:8080/tienda1/publico/productos.jsp/asf-logo-wide.gif/ gethttp://localhost:8080/worldmusic/action/catalog posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=hosang&password=helespontiaca&nombre=yodalia&apellidos=garay/cott+barnes&email=hepburn_spinnell@17horas.sb&dni=03749375f&direccion=antonio+ulloa+98+3h&ciudad=entrena&cp=50500&provincia=badajoz&ntc=8391447645133065&b1=registrar posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2='+delete+from+users gethttp://localhost:8080/exampleswebapp/interactivequery.jsp,anomalous,anomalous
"posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=<!--#exec+cmd=""ls+/""--> posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=1 gethttp://localhost:8080/tienda1/asf-logo-wide.bak gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=2352&b1='+and+'1'='1 gethttp://localhost:8080/iissamples/sdk/asp/database/simplequery_vbscript.asp",anomalous,anomalous
"posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&logina=onfre&password=$huaico&nombre=stella&apellidos=botella&email=pescard_praeger@hipereuskadi.ms&dni=34934492e&direccion=aguamarina+92,+6f&ciudad=albal�&cp=42351&provincia=le�n&ntc=0340155501114760&b1=registrar posthttp://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombre=vino+.*?rioja&precio=85&cantidad=63&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=4598&b1a=pasar+por+caja gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=3/&nombre=jam�n+ib�rico&precio=85&cantidad=39&b1=a�adir+al+carrito posthttp://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombre='+and+'1'='1&precio=39&cantidad=9&b1=a�adir+al+carrito",anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombre=jam�n+ib�rico<!--#exec+cmd=""rm+-rf+/;cat+/etc/passwd""+-->&precio=39&cantidad=81&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombre=jam�n+ib�rico','0','0','0','0');waitfor+delay+'0:0:15';--&precio=85&cantidad=24&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/vaciar.jsp?b2a=vaciar+carrito posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=chapdela&password=sacar*ificaci�n&nombre=gali<script>alert(""paros"");</script>&apellidos=pi�eriro+celayes&email=macgowan@comerciosdeaspe.kr&dni=47913001e&direccion=c/+virgen+de+la+esperanza+s/n,+9-b&ciudad=espadilla&cp=25791&provincia=ciudad+real&ntc=8410049060666952&b1=registrar gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=zureik&password=concurrente&nombre=lino&apellidos=u*rgell++cerarols&email=schulz@hiperbarcelona.hn&dni=64105812m&direccion=camoe,+189,+&ciudad=olv�s&cp=03579&provincia=guip�zcoa&ntc=6282081679981232&b1=registrar",anomalous,anomalous
"posthttp://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=','0','0','0');waitfor+delay+'0:0:15';--&precio=85&cantidad=57&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=jeavons6&pwd=empapuciar&remembera=off&b1=entrar posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=%20&login=cash3&password=urpila&nombre=jeanne&apellidos=sandrini+rotllant&email=olmer@matchball.com.im&dni=52809393j&direccion=pla�a+de+can+galta+cremat,+111+&ciudad=navia&cp=37447&provincia=c�diz&ntc=1124103686450000&b1=registrar posthttp://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombrea=queso+manchego&precio=85&cantidad=94&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=queso+manchego&precioa=100&cantidad=75&b1=a�adir+al+carrito",anomalous,anomalous
posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=6536&b1=confirmar/ gethttp://localhost:8080/tienda1/miembros/editar.jsp.inc gethttp://localhost:8080/tienda1/miembros/imagenes/castro.jpg/asf-logo-wide gethttp://localhost:8080/tienda1/publico/miembros.jsp/ gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=gahr&pwd=jacerina&remember=off/&b1=entrar,normal,anomalous
gethttp://localhost:8080/reports.nsf gethttp://localhost:8080/tienda1/4861362529278789730 posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=arnold&password=5na.0m7gr5d2&nombre=marcelino&apellidos=conill+crous&email=figueras-haufrect@freetag.no&dni=72263814e&direccion=c/+catalanes+84+13e&ciudad=talamanca&cp=26573&provincia=soria&ntc=9766753613033509&b1a=registrar posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=kolenda&pwd=0�7e1&remember=off&b1a=entrar posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas,normal,anomalous
"gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=alyosha&password=91pol277e30&nombrea=emanuel&apellidos=barriuso+arvizu&email=ecoffey@hostrofessional.com.dd&dni=05207916a&direccion=ciudad+de+ceuta,+31,+9-b&ciudad=salda�a&cp=08501&provincia=c�ceres&ntc=9078165703256769&b1=registrar gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=tappert5&password=a627o07ta&nombre=romildo&apellidos=pa+nebianco+e*spuna&email=guilfoyle@santacruzdelvoto.tl&dni=40052504m&direccion=calle+del+litio+143,+&ciudad=unciti&cp=18565&provincia=zamora&ntc=8140611124305673&b1=registrar gethttp://localhost:8080/tienda1.inc puthttp://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=queso+manchego&precio=100&cantidad=33&b1=a�adir+al+carrito gethttp://localhost:8080/cfide/administrator/welcomeexapps.cfm",anomalous,anomalous
"posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=%00&login=caton&password=enco4osa&nombre=lauro&apellidos=santamaria+molt�&email=chady@buscamoto.fi&dni=27243677q&direccion=calle+llibertat+10,+&ciudad=alberic&cp=10610&provincia=guadalajara&ntc=1870284741408418&b1=registrar gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=2&nombre=vino+rioja&precio=100&cantidad=78&b1a=a�adir+al+carrito posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=','0');waitfor+delay+'0:0:15';--&login=marconi1&password=adularia&nombre=venancio&apellidos=del+campillo+aranda&email=blier@ropadegolf.com.at&dni=70108873c&direccion=paratge+pla+18+8?d&ciudad=sotorribas&cp=15391&provincia=soria&ntc=6078216616409598&b1=registrar gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=2 posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=delly&password=barboquejo&nombre=celinda&apellidos=cusicanqui+lluch&email=treacy@conac.com.bw&dni=06685986r&direccion=c/+poeta+miguel+hernandez,+85,+13?c&ciudad=escorial,+el&cpa=12300&provincia=pontevedra&ntc=3155444527951741&b1=registrar",anomalous,anomalous
"posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=bob%40%3cscript%3ealert%28paros%29%3c%2fscript%3e.parosproxy.org gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=kinnaird&password=9r2sta1o191a&nombre=nadra&apellidos=taronger&email=moriarity@centralitatelefonicavirtual.bn&dni=97649616b&direccion=112+26,+2f&ciudad=mogarraz&cp=34247&provincia=valencia&ntca=2104962244988688&b1=registrar gethttp://localhost:8080/tienda1/miembros/imagenes/ogono.jpg.inc posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precioa=365&b1=pasar+por+caja gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=<!--#include+file=""archivo_secreto""+-->",anomalous,anomalous
"posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas puthttp://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=queso+manchego&precio=39&cantidad=53&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/productos.jsp/4861362529278789730 posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=pezzullo&password=3s3lavo3�a&nombre=cipriana&apellidos=maza+de+lizana+busqueta&email=%20&dni=86251880v&direccion=calle+nuria,+8,+&ciudad=castrillo-tejeriego&cp=29715&provincia=toledo&ntc=7846720837144073&b1=registrar gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=%2b",anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=katina&pwd=veneciana&remember=off/&b1=entrar gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carrito'injected_param gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombre=jam�n+ib�rico%20&precio=85&cantidad=21&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=krishna&pwd=3o?964i7a1&remember=on&b1=entrar<!--#exec+cmd=""rm+-rf+/;cat+/etc/passwd""+-->",anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=takagi71&pwd=b6e&remember=');waitfor+delay+'0:0:15';--&b1=entrar posthttp://localhost:8080/tienda1/publico/pagar.jsp?modoa=insertar&precio=9468&b1=pasar+por+caja gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=2""><!--#exec+cmd=""dir+""-->< posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectasbob@<script>alert(paros)</script>.parosproxy.org posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=ircbellc&password=c6ma2&nombre=macarena&apellidos=raynal+santini&email=vesota@autoescuelavilla.fm&dni=87351797m&direccion=calle+lachambre+dominguez,+27,+13?d&ciudad=alcal�+de+xivert&cp=39212&provincia=sevilla&ntc=9974355200418178&b1='or'a='a",anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=6992&b1=pasar+por+caja/ posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=crowder&password=*huer8o&nombre=cesaria&apellidos=estruch+guixa&email=ebersole.finney@mauroman.cr&dni=83100561c&direccion=pla�a+mossen+geis,+115+4?c&ciudada=porri�o,+o&cp=18520&provincia=c�ceres&ntc=8256741675769162&b1=registrar posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=beaumont&password=s9leva398d59&nombre=rudy&apellidos=auladell+quint�s&email=garrick-overton@corjet.gd&dni=15467411a&direccion=rou+co+6*8,+&ciudad=arbanc�n&cp=37622&provincia=zamora&ntc=7990892411881647&b1=registrar gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=fougere&pwd=bl5nquic77n&remember=off%3f&b1=entrar",normal,anomalous
gethttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=%7c gethttp://localhost:8080/tienda1/global/creditos.jsp/asf-logo-wide.java posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carrito%2b posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precioa=200&b1=pasar+por+caja posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=grueng&password=ma*guillo&nombre=amar-ilis&apellidos=febo+derch&email=hollen_farber@bacoespecialselecci�n.bu&dni=71766334d&direccion=calle+ruise�or+34+&ciudad=moreda+de+�lava&cp=10374&provincia=segovia&ntc=2753265172656734&b1=registrar,anomalous,anomalous
"gethttp://localhost:8080/tienda1/imagenes/2.gif/6909030637832563290.jsp puthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectas gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=nall&password=5e52oner8&nombre=leide&apellidos=balaguer+morelos&email=teixera@maquillajeparalabios.tdparos%22%20style=%22background:url(javascript:alert('paros'))&dni=35108015x&direccion=c/+angel+marsa+i+beca+159,+6-d&ciudad=calaf&cp=36543&provincia=cantabria&ntc=7238071991283064&b1=registrar gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp/asf-logo-wide.gif gethttp://localhost:8080/tienda1/publico/vaciar.jsp?b2a=vaciar+carrito",anomalous,anomalous
posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2a=vaciar+carrito gethttp://localhost:8080/tienda1/miembros/fotos.jsp/6909030637832563290.jsp.old gethttp://localhost:8080/tienda1/global/asf-logo-wide.old gethttp://localhost:8080/cfide/administrator/welcome.cfm posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=fausto&pwd=pi6a1800&remember=on/&b1=entrar,normal,anomalous
posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar'or'a='a&precio=5969&b1=confirmar gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=2&nombre=queso+manchego&precio=85&cantidad=37%3cscript%3ealert%28%22paros%22%29%3b%3c%2fscript%3e&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp.inc gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=7518&b1a=confirmar gethttp://localhost:8080/smarticketapp/index.html,anomalous,anomalous
"posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=myong&password=colorismo&nombre=dagmar&apellidos=cabane+molas&emaila=holton@enigmatico.vu&dni=91624095f&direccion=don+ferreol+hernandez+s/n,+&ciudad=calders&cp=37183&provincia=salamanca&ntc=6035116303925311&b1=registrar posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=486&b1=pasar+por+caja/ gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=+&b1=confirmar posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=8789&b1=');waitfor+delay+'0:0:15';--",anomalous,anomalous
"posthttp://localhost:8080/tienda1/publico/registro.jsp?modoa=registro&login=jamilah&password=e0f2n87a&nombre=virma&apellidos=duch+vilarnau&email=rosamond_aloyshina@videospornocaseros.aq&dni=84711932b&direccion=alfredo+donay+178,+&ciudad=casas+del+monte&cp=17650&provincia=toledo&ntc=7712379186246495&b1=registrar gethttp://localhost:8080/tienda1/publico/anadir.jsp?ida=1&nombre=queso+manchego&precio=85&cantidad=64&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&logina=raymund&pwd=pist�n&remember=on&b1=entrar gethttp://localhost:8080/tienda1/miembros/asf-logo-wide.bak gethttp://localhost:8080/tienda1/4861362529278789730",anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=tiong-ho&password=an1l5m9no&nombre=hadasa&apellidos=subias&email=parada.biuchet4@aulahost.gw&dni=79845869n&direccion=jacinto+benavente,+165+7f&ciudad=herreruela&cp=11330&provincia=teruel&ntc=any%0d%0aset-cookie%3a+tamper%3d5765205567234876235&b1=registrar gethttp://localhost:8080/tienda1/imagenes.old posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=2bob%40%3cscript%3ealert%28paros%29%3c%2fscript%3e.parosproxy.org posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=dirienzo&password=hacedor&nombre=geraldo&apellidos=turra+clop�s&email=fang_lavanant@infotek.gu&dni=39243664y&direccion=calle+tres+marias,+103+&ciudad=uterga+&cp=28980&provincia=zaragoza&ntc=7982155754096924&b1=registrar gethttp://localhost:8080/?open",anomalous,anomalous
"gethttp://localhost:8080/tienda1/imagenes/1.gif/4861362529278789730 gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=2 gethttp://localhost:8080/tienda1/imagenes/2.gif.old gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=crickard&password=chofe&nombre=irene&apellidos=blancas+sol�rzano&email=billingsley@yksoluap.sr&dni=44614622g&direccion=gibraltar,+160+&ciudad=cogollos&cp=10189&provincia=cuenca&ntc=2593497468791354'+delete+from+users&b1=registrar gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas",anomalous,anomalous
gethttp://localhost:8080/tienda1/publico/anadir.jsp.old posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=and+1=1&precio=1715&b1=pasar+por+caja posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&logina=morton6&pwd=golfo&remember=on&b1=entrar posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=2 gethttp://localhost:8080/tienda1/global/menum.jsp.old,anomalous,anomalous
